,id,name,link,regular_price,promo_price,brand
183,524532,"Ветчина Велес ГОСТ, 500г",https://online.metro-cc.ru/products/vetchina-veles-gost-500-g,499,398,ВЕЛЕС
184,465488,"Колбаса Велес Сервелат варено-копченая высший сорт, 450г",https://online.metro-cc.ru/products/servelat-veles-vareno-kopchenyj-vysshij-sort-v-vakuumnoj-upakovke-450g,429,,ВЕЛЕС
185,226189,"Ветчина Ялуторовский МК Сочная вареная, 450г",https://online.metro-cc.ru/products/450g-vetchina-yalutorovskiy-sochnaya-varenaya,226,191,ЯЛУТОРОВСКИЙ МК
186,217901,"Колбаса Ишимский Мк Фортуна варено-копченая, 350г",https://online.metro-cc.ru/products/350g-kolbasa-salyami-ishimskiy-fortuna-vk-vu,152,,ИШИМСКИЙ МК
187,127210,"Ветчина Ялуторовский МК Для завтрака ГОСТ, 450г",https://online.metro-cc.ru/products/450g-d-zavtraka-yalutorovskij-mk-gost,339,259,ЯЛУТОРОВСКИЙ МК
188,217899,"Колбаса Ишимский Мк сервелат финский варено-копченая, 350г",https://online.metro-cc.ru/products/350g-kolbasa-servelat-ishimskiy-finskiy-vk-vu,185,175,ИШИМСКИЙ МК
189,132222,"Ветчина Дюжий двор из бедра индейки, ~1.3кг",https://online.metro-cc.ru/products/vetchina-dyuzhij-dvor-iz-bedra-indejki-13kg,299,,ДЮЖИЙ ДВОР
190,227434,"Колбаса Дымов салями Итальянская сырокопченая, 230г",https://online.metro-cc.ru/products/230g-kolbasa-salyami-dymov-italyanskaya-sk-vu,289,,ДЫМОВ
191,227983,"Колбаса Велком докторская вареная, 400г",https://online.metro-cc.ru/products/400g-kolbasa-velkom-doktorskaya-varenaya,349,,ВЕЛКОМ
192,528849,"Колбаса Эколь Халяль говяжья сырокопченая, 150г",https://online.metro-cc.ru/products/ekol-govyazhya-syrokopchenaya-halyal-150g,319,,ЭКОЛЬ
193,223632,"Колбаски Микоян Пивчики баварские сырокопченые, 80г",https://online.metro-cc.ru/products/80g-kolbaski-mikoyan-pivchiki-bavarskie-sk,99.90,,МИКОЯН
194,228785,"Колбаса Мясницкий ряд докторская вареная, 400г",https://online.metro-cc.ru/products/400g-kolbasa-myasnitskiy-ryad-doktorskaya-varenaya,339,299,МЯСНИЦКИЙ РЯД
195,217903,"Колбаса Ишимский Мк балыковая варено-копченая, 350г",https://online.metro-cc.ru/products/350g-kolbasa-ishimskiy-balykovaya-vk-vu,267,,ИШИМСКИЙ МК
196,563457,"Колбаски Дымов Пиколини со вкусом хамона, 50г",https://online.metro-cc.ru/products/dymov-pikolini-kolbaski-so-vkusom-hamona-50g,88.90,,ДЫМОВ
197,217902,"Колбаса Ишимский Мк венская полукопченая, 350г",https://online.metro-cc.ru/products/350g-kolbasa-ishimskiy-venskaya-pk-vu,266,,ИШИМСКИЙ МК
198,128733,"Колбаса Халиф Халяль вареная из мяса птицы, 400г",https://online.metro-cc.ru/products/halif-iz-pticy-halyal-400g,149,,ХАЛИФ
199,235264,"Ветчина Черкизово мясная вареная, 400г",https://online.metro-cc.ru/products/400g-vetchina-cherkizovo-myasnaya-varenaya,249,,ЧЕРКИЗОВО
200,593232,"Колбаса Ясная горка Чайная вареная, 500г",https://online.metro-cc.ru/products/kolbasa-varenaya-chajnaya-gorka-500g,120,,ЯСНАЯ ГОРКА
201,226196,"Колбаса Велес Салями сырокопченая полусухая, 200г",https://online.metro-cc.ru/products/200g-kolbasa-salyami-veles-sk-polusuhaya,349,,ВЕЛЕС
202,217904,"Колбаса Ишимский Мк русская вареная ГОСТ, 400г",https://online.metro-cc.ru/products/400g-kolbasa-ishimskiy-russkaya-varenaya-gost,219,179,ИШИМСКИЙ МК
203,128726,"Колбаса Ялуторовский МК Краковская полукопченая ГОСТ, 400г",https://online.metro-cc.ru/products/yalutorovskij-krakovskaya-polukopchenaya-gost-400g,267,229,ЯЛУТОРОВСКИЙ МК
204,217905,"Колбаса Ишимский Мк молочная вареная, 400г",https://online.metro-cc.ru/products/400g-kolbasa-ishimskiy-molochnaya-varenaya,146,139,ИШИМСКИЙ МК
